"Player","FG","FGA","3P","3PA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","FG%","3P%","FT%"
"Paul George",18.9,3.3,8.6,5.1,6,1.2,3.7,2,0.5,2.6,2.8,24.9,0.389,0.837,
"Taj Gibson",11,0.2,0.8,2.4,3.1,3,1.6,1,0.8,1.5,3.5,14.7,0.299,0.753,
"Harry Giles",14.9,0.3,1,2.6,3.9,2.7,3.8,1.4,1,2.9,5.8,18.2,0.292,0.669,
"Shai Gilgeous-Alexander",11.9,0.9,2.5,2.7,3.3,1,4.5,1.6,0.8,2.3,2.8,15.3,0.378,0.807,
"Rudy Gobert",9.6,0.1,0.2,4.4,6.7,4,2.1,0.9,2.6,1.9,3.2,17,0.346,0.651,
"Brandon Goodwin",13.6,1.6,4.5,3.5,4.4,1.3,5.1,0.9,0.6,2,3.4,16.3,0.358,0.793,
"Aaron Gordon",14.6,1.8,5.1,2.7,3.7,1.8,3.5,0.9,0.8,2.1,2.3,17.7,0.348,0.729,
"Eric Gordon",15.7,3.5,9.9,2.4,3,0.4,2.4,0.7,0.5,1.8,2.3,18.9,0.358,0.796,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Marcin Gortat",9.6,0.1,0.3,1.8,2.6,3,2.6,0.6,1,2,3.5,11.9,0.341,0.689,
"Devonte' Graham",11.8,1.8,6.1,2,2.7,0.7,6,1.2,0.2,1.7,2.6,12.7,0.299,0.768,
"Treveon Graham",9.2,1.7,5,1.3,1.7,1.3,2,0.9,0.3,1,3.5,10.2,0.339,0.753,
"Jerami Grant",10.9,1.4,3.6,2.5,3.6,1.4,1.2,0.8,1.5,1,3,14.9,0.38,0.7,
"Jerian Grant",9.9,1.5,4.2,2,2.8,0.8,6.2,1.5,0.3,1.9,2.9,11.9,0.351,0.736,
"Donte Grantham",13.5,1.7,5.1,2.6,3.4,1.5,3.7,1.1,0.7,2,3,16.6,0.333,0.772,
"Danny Green",10.5,2.8,6.7,0.8,1,0.9,2.2,1.2,1.1,1.4,2.7,12.8,0.42,0.804,
"Draymond Green",8.6,1,3.4,1.6,2.2,1.1,7.7,1.6,1.3,3,3.2,10.2,0.297,0.73,
"Gerald Green",14.5,3.7,10.4,1.6,2,0.8,1.2,0.8,0.6,1.4,3.2,16.9,0.352,0.828,
"JaMychal Green",11.7,1.5,3.9,2.1,2.7,2.9,1.6,1,0.7,2,4.4,14.7,0.383,0.771,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Jeff Green",12.1,1.6,4.8,3.3,3.8,1,2.3,0.8,0.6,1.7,2.8,16.1,0.331,0.873,
"Blake Griffin",18,2.3,6.3,5.3,7,1.4,5.5,0.8,0.4,3.2,2.7,24,0.356,0.759,
"Daniel Hamilton",11.8,1.6,4.4,1.4,2.1,1.6,4.1,1.1,0.4,2.5,3.2,13.3,0.362,0.699,
